name,short_name,gender,birth_date,country_code,discipline,function,event
ELAFANDI Nour,ELAFANDI N,Female,1993-01-10,EGY,Artistic Swimming,Coach,Team
ELEK Gabor,ELEK G,Male,1970-11-05,HUN,Handball,Coach,Women
ERIKSEN Ken,ERIKSEN K,Male,1961-01-31,USA,Baseball/Softball,Head Coach,Softball
ESTRADA Hector,ESTRADA H,Male,1968-10-23,MEX,Baseball/Softball,Coach,Baseball
EWING Gareth,EWING G,Male,1974-03-13,RSA,Hockey,Head Coach,Men
FABRE Julie,FABRE J,Female,1976-06-27,FRA,Artistic Swimming,Coach,Duet
FALERO Miguel,FALERO M,Male,1957-05-17,HON,Football,Head Coach,Men
FARINELLI Roberta,FARINELLI R,Female,1970-02-06,ITA,Artistic Swimming,Coach,Duet
FARINELLI Roberta,FARINELLI R,Female,1970-02-06,ITA,Artistic Swimming,Coach,Team
FATOVIC Elvis,FATOVIC E,Male,1971-05-08,AUS,Water Polo,Head Coach,Men
FENSTER Darren,FENSTER D,Male,1978-09-11,USA,Baseball/Softball,Coach,Baseball
FERRARO Hernan,FERRARO H,Male,1968-05-13,ARG,Volleyball,Head Coach,Women
FISH Nate,FISH N,Male,1980-01-02,ISR,Baseball/Softball,Coach,Baseball
FLOWERS Tairia,FLOWERS T,Female,1981-01-09,USA,Baseball/Softball,Coach,Softball
FORREST Scott,FORREST S,Male,1984-08-06,GBR,Rugby Sevens,Head Coach,Women
FRIDAY Mike,FRIDAY M,Male,1972-04-25,USA,Rugby Sevens,Head Coach,Men
FUENTES Andrea,FUENTES A,Female,1983-04-07,USA,Artistic Swimming,Coach,Duet
FUJIKI Mayuko,FUJIKI M,Female,1975-06-21,ESP,Artistic Swimming,Coach,Duet
FUJIKI Mayuko,FUJIKI M,Female,1975-06-21,ESP,Artistic Swimming,Coach,Team
FULI Saiasi,FULI S,Male,1978-03-16,FIJ,Rugby Sevens,Head Coach,Women
GADEMAN Pasha,GADEMAN P,Male,1988-03-06,CAN,Hockey,Head Coach,Men
GAIDUKOV Aleksandr,GAIDUKOV A,Male,1974-01-10,ROC,Water Polo,Head Coach,Women
GARCIA Manuel,GARCIA M,Male,1989-03-08,DOM,Baseball/Softball,Coach,Baseball
GARCIA PIZARRO Paula,GARCIA PIZARRO P,Female,1978-11-10,COL,Artistic Swimming,Coach,Duet
GARNIER Valerie,GARNIER V,Female,1965-01-09,FRA,Basketball,Coach,Women
GERHARDSSON Peter,GERHARDSSON P,Male,1959-08-22,SWE,Football,Head Coach,Women
GIACOBBE Antonio,GIACOBBE A,Male,1947-02-12,TUN,Volleyball,Head Coach,Men
GIALLOMBARDO Patrizia,GIALLOMBARDO P,Female,1964-07-19,ITA,Artistic Swimming,Coach,Duet
GIALLOMBARDO Patrizia,GIALLOMBARDO P,Female,1964-07-19,ITA,Artistic Swimming,Coach,Team
GILLE Guillaume,GILLE G,Male,1976-07-12,FRA,Handball,Coach,Men
GINZBURG Ronen,GINZBURG R,Male,1963-09-19,CZE,Basketball,Coach,Men
GISLASON Alfred,GISLASON A,Male,1959-09-07,GER,Handball,Coach,Men
GOJKOVIC Vladimir,GOJKOVIC V,Male,1981-01-29,MNE,Water Polo,Head Coach,Men
GOMEZ CORA Santiago,GOMEZ CORA S,Male,1978-07-25,ARG,Rugby Sevens,Head Coach,Men
GOMEZ Gilbert,GOMEZ G,Male,1992-03-08,DOM,Baseball/Softball,Coach,Baseball
GOORJIAN Brian Warwick,GOORJIAN B,Male,1953-06-28,AUS,Basketball,Coach,Men
GRYZUNOVA Elena,GRYZUNOVA E,Female,1960-01-28,ROC,Artistic Swimming,Coach,Team
GUERRERO Rolando,GUERRERO R,Male,1962-10-14,MEX,Baseball/Softball,Coach,Softball
