name,short_name,gender,birth_date,country,discipline,function
SIMON Radoslav,SIMON R,Male,1986-06-20,Slovakia,Boxing,Judge
SIMONOVIC Vladimir,SIMONOVIC V,Male,1976-01-29,Serbia,Volleyball,Referee
SINDEN Jodie,SINDEN J,Female,1994-07-21,Great Britain,Taekwondo,Referee
SINDIC Saso,SINDIC S,Male,1974-07-28,Slovenia,Judo,Judge
SNIUKSTA Gintaras,SNIUKSTA G,Male,1965-10-15,Lithuania,Boxing,Judge
SOARES Paulo,SOARES P,Male,1976-08-31,Portugal,Football,Assistant Referee
SOERLIE Carsten,SOERLIE C,Male,1957-01-17,Norway,Equestrian,Jury President
SOH Soh Yew Siang,SOH SYS,Male,1961-04-16,Malaysia,Diving,Judge
SOH Soh Yew Siang,SOH S,Male,1961-04-16,Malaysia,Water Polo,Judge
SOK David,SOK D,Male,1983-03-18,Slovenia,Handball,Referee
SONEZAKI Takeyoshi,SONEZAKI T,Male,1972-02-28,Japan,Boxing,Judge
SOTO Jorge,SOTO J,Male,1978-04-21,Colombia,Diving,Judge
SPIEGEL Jeffrey,SPIEGEL J,Male,1988-02-28,Germany,Wrestling,Judge
SPINNICCHIA Marco,SPINNICCHIA M,Male,1977-07-06,Italy,Beach Volleyball,Referee
SRICHAISAWAT Paiboon,SRICHAISAWAT P,Male,1957-09-10,Thailand,Boxing,Judge
STANCU Simona,STANCU S,Female,1985-12-21,Romania,Handball,Referee
STARKOV Andriy,STARKOV A,Male,1986-08-20,Ukraine,Taekwondo,Referee
STAUBLI Esther,STAUBLI E,Female,1979-10-03,Switzerland,Football,Referee
STAVRIDIS Georgios,STAVRIDIS G,Male,1970-04-07,Greece,Water Polo,Referee
STEINHAUS-WEBB Bibiana,STEINHAUS-WEBB B,Female,1979-03-24,Germany,Football,Video Assistant Referee (VAR)
STOJKOVIC Uros,STOJKOVIC U,Male,1983-11-04,Serbia,Football,Assistant Referee
STRILETSKA Maryna,STRILETSKA M,Female,1983-08-22,Ukraine,Football,Assistant Referee
SUEGARA Masaru,SUEGARA M,Male,1958-02-20,Japan,Wrestling,Judge
SUEHIRO Akito,SUEHIRO A,Male,1949-11-19,Japan,Diving,Judge
SUEHIRO Akito,SUEHIRO A,Male,1949-11-19,Japan,Water Polo,Judge
SUIYENISH Yermek,SUIYENISH Y,Male,1977-07-07,Kazakhstan,Boxing,Judge
SULEJMANI Maksim,SULEJMANI M,Male,1969-11-02,Australia,Boxing,Judge
SUMAVIL Osvaldo,SUMAVIL O,Male,1969-06-23,Argentina,Beach Volleyball,Referee
SUMIMOTO Hideki,SUMIMOTO H,Male,1958-02-06,Japan,Volleyball,Referee
SUN Jian,SUN J,Male,1973-06-25,People's Republic of China,Wrestling,Judge
SUNAI Tetsushi,SUNAI T,Male,1970-11-07,Japan,Wrestling,Judge
SURL Philip,SURL Philip,Male,1966-06-21,Great Britain,Equestrian,Technical Delegate
SUWANNAMAI Thanathorn,SUWANNAMAI T,Male,1989-03-27,Thailand,Beach Volleyball,Referee
SUZARA Ramon,SUZARA R,Male,1959-05-05,Philippines,Volleyball,Referee
SUZUKI Hidetoshi,SUZUKI H,Male,1964-04-04,Japan,Taekwondo,Referee
SUZUKI Miho,SUZUKI M,Female,1985-04-13,Japan,Volleyball,Referee
SUZUKI Toshihide,SUZUKI T,Male,1978-08-19,Japan,Wrestling,Judge
SZALMA Zoltan,SZALMA Z,Male,1967-09-22,Hungary,Boxing,Judge
SZEKFFY Nora,SZEKFFY N,Female,1970-01-23,Hungary,Diving,Judge
SZOKE Andor,SZOKE A,Male,1985-05-30,Hungary,Judo,Judge
TAKAHASHI Daisuke,TAKAHASHI D,Male,1974-06-02,Japan,Taekwondo,Referee
TAKAHASHI Hiroaki,TAKAHASHI H,Male,1976-10-19,Japan,Volleyball,Referee
TAKAHASHI Miyuki,TAKAHASHI M,Female,1977-05-28,Japan,Volleyball,Referee
TAKAHASHI Yasunobu,TAKAHASHI Y,Male,1967-03-26,Japan,Judo,Judge
TAKANO Osamu,TAKANO O,Male,1977-10-08,Japan,Volleyball,Referee
TAKANO Osamu,TAKANO O,Male,1963-03-12,Japan,Handball,Referee
TAKAYAMA Ken,TAKAYAMA K,Male,1964-06-06,Japan,Judo,Judge
TAKAZAWA Rie,TAKAZAWA R,Female,1973-04-23,Japan,Volleyball,Referee
TAKAZAWA Yoshie,TAKAZAWA Y,Female,1975-07-28,Japan,Volleyball,Referee
TAKEZAWA Takuto,TAKEZAWA T,Male,1982-05-30,Japan,Beach Volleyball,Referee
TANAKA Hideto,TANAKA H,Male,1964-11-04,Japan,Wrestling,Judge
TANEMOTO Keiko,TANEMOTO K,Female,1975-09-24,Japan,Volleyball,Referee
TANG Mae Chen,TANG MC,Female,1960-09-26,Malaysia,Diving,Judge
TANG Mae Chen,TANG M,Female,1960-09-26,Malaysia,Water Polo,Judge
