name,short_name,gender,birth_date,country,country_code,discipline,discipline_code
VIDES Jorge,VIDES J,Male,1992-11-24,Brazil,BRA,Athletics,ATH
VIDIAUX Marcia,VIDIAUX M,Female,1999-07-21,Cuba,CUB,Artistic Gymnastics,GAR
VIDOVIC Stefan,VIDOVIC S,Male,1992-08-08,Montenegro,MNE,Water Polo,WPO
VIDTS Noor,VIDTS N,Female,1996-05-30,Belgium,BEL,Athletics,ATH
VIEIRA Ana Carolina,VIEIRA AC,Female,2001-10-24,Brazil,BRA,Swimming,SWM
VIEIRA Joao,VIEIRA J,Male,1976-02-20,Portugal,POR,Athletics,ATH
VIEIRA Samara,VIEIRA S,Female,1991-10-07,Brazil,BRA,Handball,HBL
VIENS Evelyne,VIENS E,Female,1997-02-06,Canada,CAN,Football,FBL
VIERU Denis,VIERU D,Male,1996-03-10,Republic of Moldova,MDA,Judo,JUD
VIGIER Sebastien,VIGIER S,Male,1997-04-18,France,FRA,Cycling Track,CTR
VIGNA Laura,VIGNA L,Female,1999-01-24,Italy,ITA,Baseball/Softball,BSB
VIGRASS Graham,VIGRASS G,Male,1989-06-17,Canada,CAN,Volleyball,VVO
VIKLUND Therese,VIKLUND T,Female,1987-02-06,Sweden,SWE,Equestrian,EQU
VIKSTROM Antti,VIKSTROM A,Male,1993-01-15,Finland,FIN,Archery,ARC
VILA Lucas Martin,VILA LM,Male,1986-08-23,Argentina,ARG,Hockey,HOC
VILAR Lucas,VILAR L,Male,2001-03-10,Brazil,BRA,Athletics,ATH
VILARRUBLA Nuria,VILARRUBLA N,Female,1992-03-09,Spain,ESP,Canoe Slalom,CSL
VILDOZA Luca,VILDOZA L,Male,1995-08-11,Argentina,ARG,Basketball,BKB
VILLA CASTANEDA Sebastian,VILLA CASTANEDA S,Male,1992-02-21,Colombia,COL,Diving,DIV
VILLALBA Virginia Elizabeth,VILLALBA VE,Female,1996-07-10,Ecuador,ECU,Athletics,ATH
VILLAMAYOR Sergio,VILLAMAYOR S,Male,1989-12-04,Argentina,ARG,Modern Pentathlon,MPN
VILLANUEVA FLORES Claudio Paulino,VILLANUEVA FLOR CP,Male,1988-08-03,Ecuador,ECU,Athletics,ATH
VILLAR Ivan,VILLAR I,Male,1997-07-09,Spain,ESP,Football,FBL
VILLARREAL TUDON Andres Isaac,VILLARREAL TUDON A,Male,1996-10-22,Mexico,MEX,Diving,DIV
VINCENT Davidson,VINCENT D,Male,2001-09-05,Haiti,HAI,Swimming,SWM
VINCENT Julia,VINCENT J,Female,1994-08-13,South Africa,RSA,Diving,DIV
VINCENT Katie,VINCENT K,Female,1996-03-12,Canada,CAN,Canoe Sprint,CSP
VINCENT Nnamdi,VINCENT N,Male,1996-06-14,Nigeria,NGR,Basketball,BKB
VINCENT Scott,VINCENT S,Male,1992-05-20,Zimbabwe,ZIM,Golf,GLF
VINCENT-LAPOINTE Laurence,VINCENT-LAPOINTE L,Female,1992-05-27,Canada,CAN,Canoe Sprint,CSP
VINESH Vinesh,VINESH V,Female,1994-08-25,India,IND,Wrestling,WRE
VINOGRADOVA Natalia,VINOGRADOVA N,Female,1993-07-14,ROC,ROC,Shooting,SHO
VIQUERAT Antoine,VIQUERAT A,Male,1998-10-05,France,FRA,Swimming,SWM
VIRBALYTE Brigita,VIRBALYTE B,Female,1985-02-01,Lithuania,LTU,Athletics,ATH
VISSER Impi,VISSER I,Male,1995-05-30,South Africa,RSA,Rugby Sevens,RUG
VISSER Nadine,VISSER N,Female,1995-02-09,Netherlands,NED,Athletics,ATH
VITA Claudine,VITA C,Female,1996-09-19,Germany,GER,Athletics,ATH
VITALI Michele,VITALI M,Male,1991-10-31,Italy,ITA,Basketball,BKB
VITALIS Coraline,VITALIS C,Female,1995-05-09,France,FRA,Fencing,FEN
VITITIN Artur,VITITIN A,Male,1997-06-13,Estonia,EST,Wrestling,WRE
VITORINO Tabata,VITORINO T,Female,1996-04-23,Brazil,BRA,Athletics,ATH
VIVALDI Juan Manuel,VIVALDI JM,Male,1979-07-17,Argentina,ARG,Hockey,HOC
VIVARELLI Debora,VIVARELLI D,Female,1993-01-28,Italy,ITA,Table Tennis,TTE
VIVAS PALACIOS Jorge Luis,VIVAS PALACIOS JL,Male,1988-01-22,Colombia,COL,Boxing,BOX
VIVIANI Elia,VIVIANI E,Male,1989-02-07,Italy,ITA,Cycling Track,CTR
VLACH Martin,VLACH M,Male,1997-05-02,Czech Republic,CZE,Modern Pentathlon,MPN
VLACHOPOULOS Angelos,VLACHOPOULOS A,Male,1991-09-28,Greece,GRE,Water Polo,WPO
VLASOV Aleksandr,VLASOV A,Male,1996-04-23,ROC,ROC,Cycling Road,CRD
VLCEK Erik,VLCEK E,Male,1981-12-29,Slovakia,SVK,Canoe Sprint,CSP
VLIEGEN Joran,VLIEGEN J,Male,1993-07-07,Belgium,BEL,Tennis,TEN
VLOCK Teddy,VLOCK T,Male,1998-01-14,Israel,ISR,Equestrian,EQU
VLOON Menno,VLOON M,Male,1994-05-11,Netherlands,NED,Athletics,ATH
VOGEL Soma,VOGEL S,Male,1997-07-07,Hungary,HUN,Water Polo,WPO
VOGG Felix,VOGG F,Male,1990-06-19,Switzerland,SUI,Equestrian,EQU
VOIGTMANN Johannes,VOIGTMANN J,Male,1992-09-30,Germany,GER,Basketball,BKB
VOINOVA Anastasiia,VOINOVA A,Female,1993-02-05,ROC,ROC,Cycling Track,CTR
VOLKO Jan,VOLKO J,Male,1996-11-02,Slovakia,SVK,Athletics,ATH
VOLKOV Dmitry,VOLKOV D,Male,1995-05-25,ROC,ROC,Volleyball,VVO
VOLLERING Demi,VOLLERING D,Female,1996-11-15,Netherlands,NED,Cycling Road,CRD
VOLPI Alice,VOLPI A,Female,1992-04-15,Italy,ITA,Fencing,FEN
VOLVICH Artem,VOLVICH A,Male,1990-01-22,ROC,ROC,Volleyball,VVO
von BREDOW-WERNDL Jessica,von BREDOW-WERNDL Jessica,Female,1986-02-16,Germany,GER,Equestrian,EQU
von ECKERMANN Henrik,von ECKERMANN H,Male,1981-05-25,Sweden,SWE,Equestrian,EQU
von MARTELS Chris,von MARTELS C,Male,1982-10-13,Canada,CAN,Equestrian,EQU
VONDROUSOVA Marketa,VONDROUSOVA M,Female,1999-06-28,Czech Republic,CZE,Tennis,TEN
VONDROVA Lada,VONDROVA L,Female,1999-09-06,Czech Republic,CZE,Athletics,ATH
VOORN Jessey,VOORN J,Male,1990-03-17,Netherlands,NED,3x3 Basketball,BK3
VOROBEVA Elena,VOROBEVA E,Female,1988-04-18,Croatia,CRO,Sailing,SAL
VOROBIEVA Natalia,VOROBIEVA N,Female,1991-05-27,ROC,ROC,Wrestling,WRE
VORONINA Ekaterina,VORONINA E,Female,1992-02-16,Uzbekistan,UZB,Athletics,ATH
VORONKOVA Irina,VORONKOVA I,Female,1995-10-20,ROC,ROC,Volleyball,VVO
VORONTSOVA Liudmila,VORONTSOVA L,Female,1999-02-22,ROC,ROC,Boxing,BOX
VORSTER Michelle,VORSTER M,Female,1978-09-12,Namibia,NAM,Cycling Mountain Bike,MTB
VOS Marianne,VOS M,Female,1987-05-13,Netherlands,NED,Cycling Road,CRD
VOSS Sarah,VOSS S,Female,1999-10-21,Germany,GER,Artistic Gymnastics,GAR
VOZNYAK Anastasiya,VOZNYAK A,Female,1998-12-09,Ukraine,UKR,Rhythmic Gymnastics,GRY
VRABCOVA NYVLTOVA Eva,VRABCOVA NYVLTOV E,Female,1986-02-06,Czech Republic,CZE,Athletics,ATH
VRASTIL Miroslav,VRASTIL M,Male,1982-10-17,Czech Republic,CZE,Rowing,ROW
VRINCEANU Ioana,VRINCEANU I,Female,1994-03-07,Romania,ROU,Rowing,ROW
VRLIC Josip,VRLIC J,Male,1986-04-25,Croatia,CRO,Water Polo,WPO
VRZALOVA Simona,VRZALOVA S,Female,1988-04-07,Czech Republic,CZE,Athletics,ATH
VUC Emilia Alina,VUC EA,Female,1993-10-04,Romania,ROU,Wrestling,WRE
VUCENOVIC Marija,VUCENOVIC M,Female,1993-04-03,Serbia,SRB,Athletics,ATH
VUKASINOVIC Sanja,VUKASINOVIC S,Female,1997-10-22,Serbia,SRB,Shooting,SHO
VUKCEVIC Nikolina,VUKCEVIC N,Female,2000-07-28,Montenegro,MNE,Handball,HBL
VUKICEVIC Ante,VUKICEVIC A,Male,1993-02-24,Croatia,CRO,Water Polo,WPO
VUKOSAVLJEVIC Valeriane,VUKOSAVLJEVIC V,Female,1994-04-29,France,FRA,Basketball,BKB
VUKOVIC Marija,VUKOVIC M,Female,1992-01-21,Montenegro,MNE,Athletics,ATH
VUKSANOVIC Srdan,VUKSANOVIC S,Male,1992-07-05,Kazakhstan,KAZ,Water Polo,WPO
VULPISI Clara,VULPISI C,Female,1998-07-15,Canada,CAN,Water Polo,WPO
VYAKHIREVA Anna,VYAKHIREVA A,Female,1995-03-13,ROC,ROC,Handball,HBL
VYAZOVKIN Alexander,VYAZOVKIN A,Male,1997-04-09,ROC,ROC,Rowing,ROW
VYORAL Tomas,VYORAL T,Male,1992-09-28,Czech Republic,CZE,Basketball,BKB
VYSOCHANSKA Mariia,VYSOCHANSKA M,Female,2002-09-10,Ukraine,UKR,Rhythmic Gymnastics,GRY
VYSTAVEL Frederic,VYSTAVEL F,Male,1993-08-29,Denmark,DEN,Rowing,ROW
WADDILOVE Sean,WADDILOVE S,Male,1997-06-19,Ireland,IRL,Sailing,SAL
WADDLETON Ethan,WADDLETON E,Male,1996-11-23,Great Britain,GBR,Rugby Sevens,RUG
WAFULA Stella,WAFULA S,Female,1998-07-07,Kenya,KEN,Rugby Sevens,RUG
WAGMAN Joey,WAGMAN J,Male,1991-07-25,Israel,ISR,Baseball/Softball,BSB
WAGMAN Nick,WAGMAN N,Male,1973-07-31,United States of America,USA,Equestrian,EQU
WAGNER Anna-Maria,WAGNER AM,Female,1996-05-17,Germany,GER,Judo,JUD
WAGNER Benedikt,WAGNER B,Male,1990-06-14,Germany,GER,Fencing,FEN
WAGNER EHLINGER Nicolas,WAGNER EHLINGER N,Male,1992-01-02,Luxembourg,LUX,Equestrian,EQU
WAGNER Kristina,WAGNER K,Female,1993-01-25,United States of America,USA,Rowing,ROW
WAGNER Moritz,WAGNER M,Male,1997-04-26,Germany,GER,Basketball,BKB
WAIDA Rio,WAIDA R,Male,2000-01-25,Indonesia,INA,Surfing,SRF
WAINE Ben,WAINE B,Male,2001-06-11,New Zealand,NZL,Football,FBL
WAINIQOLO Jiuta,WAINIQOLO J,Male,1999-03-10,Fiji,FIJ,Rugby Sevens,RUG
WAIRIMU Jane Wacu,WAIRIMU JW,Female,1985-03-24,Kenya,KEN,Volleyball,VVO
WAIS Ahmad Badreddin,WAIS AB,Male,1991-01-15,EOR,EOR,Cycling Road,CRD
WAKELING Brandon Dean,WAKELING BD,Male,1994-02-02,Australia,AUS,Weightlifting,WLF
WAKIMOTO Yuta,WAKIMOTO Y,Male,1989-03-21,Japan,JPN,Cycling Track,CTR
WALCOTT Keshorn,WALCOTT K,Male,1993-04-02,Trinidad and Tobago,TTO,Athletics,ATH
WALCOTT-NOLAN Revee,WALCOTT-NOLAN R,Female,1995-03-06,Great Britain,GBR,Athletics,ATH
WALCZYKIEWICZ Marta,WALCZYKIEWICZ M,Female,1987-08-01,Poland,POL,Canoe Sprint,CSP
WALDMAN Dani G.,WALDMAN DG,Female,1985-02-06,Israel,ISR,Equestrian,EQU
WALE Getnet,WALE G,Male,2000-07-16,Ethiopia,ETH,Athletics,ATH
WALES Lachlan,WALES L,Male,1997-10-19,Australia,AUS,Football,FBL
WALIHAN Sailike,WALIHAN S,Male,1992-03-03,People's Republic of China,CHN,Wrestling,WRE
WALIWARSHA Nimali,WALIWARSHA N,Female,1989-09-19,Sri Lanka,SRI,Athletics,ATH
WALKDEN Bianca,WALKDEN B,Female,1991-09-29,Great Britain,GBR,Taekwondo,TKW
WALKER Kristina,WALKER K,Female,1996-05-09,Canada,CAN,Rowing,ROW
WALKER Kurt Anthony,WALKER KA,Male,1995-03-07,Ireland,IRL,Boxing,BOX
WALL Jade,WALL J,Female,1989-04-20,Australia,AUS,Baseball/Softball,BSB
WALLACE Bernadette,WALLACE B,Female,1989-08-08,Australia,AUS,Canoe Sprint,CSP
WALLACE James Brodie Burns,WALLACE JBB,Male,1999-09-14,Canada,CAN,Hockey,HOC
WALLACE Zachary,WALLACE Z,Male,1999-09-29,Great Britain,GBR,Hockey,HOC
WALLER Jack,WALLER J,Male,1997-01-28,Great Britain,GBR,Hockey,HOC
WALLI Susanne,WALLI S,Female,1996-05-05,Austria,AUT,Athletics,ATH
WALLS Matthew,WALLS M,Male,1998-04-20,Great Britain,GBR,Cycling Track,CTR
WALRAVEN Nicole,WALRAVEN N,Female,1994-12-12,South Africa,RSA,Hockey,HOC
WALSH Aidan,WALSH A,Male,1997-03-28,Ireland,IRL,Boxing,BOX
WALSH Alex,WALSH A,Female,2001-07-31,United States of America,USA,Swimming,SWM
WALSH Julian Jrummi,WALSH JJ,Male,1996-09-18,Japan,JPN,Athletics,ATH
