medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Gold Medal,1,2021-07-24,KIM JD,KIM Je Deok,W,KOR,ARC,Mixed Team,Republic of Korea,Archery
Gold Medal,1,2021-07-24,AN S,AN San,W,KOR,ARC,Mixed Team,Republic of Korea,Archery
Silver Medal,2,2021-07-24,SCHLOESSER G,SCHLOESSER Gabriela,W,NED,ARC,Mixed Team,Netherlands,Archery
Silver Medal,2,2021-07-24,WIJLER S,WIJLER Steve,W,NED,ARC,Mixed Team,Netherlands,Archery
Bronze Medal,3,2021-07-24,ALVAREZ L,ALVAREZ Luis,W,MEX,ARC,Mixed Team,Mexico,Archery
Bronze Medal,3,2021-07-24,VALENCIA A,VALENCIA Alejandra,W,MEX,ARC,Mixed Team,Mexico,Archery
Gold Medal,1,2021-07-24,CARAPAZ R,CARAPAZ Richard,M,ECU,CRD,Men's Road Race,Ecuador,Cycling Road
Silver Medal,2,2021-07-24,van AERT W,van AERT Wout,M,BEL,CRD,Men's Road Race,Belgium,Cycling Road
Bronze Medal,3,2021-07-24,POGACAR T,POGACAR Tadej,M,SLO,CRD,Men's Road Race,Slovenia,Cycling Road
Gold Medal,1,2021-07-24,SZILAGYI A,SZILAGYI Aron,M,HUN,FEN,Men's Sabre Individual,Hungary,Fencing
Silver Medal,2,2021-07-24,SAMELE L,SAMELE Luigi,M,ITA,FEN,Men's Sabre Individual,Italy,Fencing
Bronze Medal,3,2021-07-24,KIM J,KIM Junghwan,M,KOR,FEN,Men's Sabre Individual,Republic of Korea,Fencing
Gold Medal,1,2021-07-24,SUN Y,SUN Yiwen,W,CHN,FEN,Women's &Eacute;p&eacute;e Individual,People's Republic of China,Fencing
Silver Medal,2,2021-07-24,POPESCU AM,POPESCU Ana Maria,W,ROU,FEN,Women's &Eacute;p&eacute;e Individual,Romania,Fencing
Bronze Medal,3,2021-07-24,LEHIS K,LEHIS Katrina,W,EST,FEN,Women's &Eacute;p&eacute;e Individual,Estonia,Fencing
Gold Medal,1,2021-07-24,TAKATO N,TAKATO Naohisa,M,JPN,JUD,Men -60 kg,Japan,Judo
Silver Medal,2,2021-07-24,YANG YW,YANG Yung Wei,M,TPE,JUD,Men -60 kg,Chinese Taipei,Judo
Bronze Medal,3,2021-07-24,MKHEIDZE L,MKHEIDZE Luka,M,FRA,JUD,Men -60 kg,France,Judo
Bronze Medal,3,2021-07-24,SMETOV Y,SMETOV Yeldos,M,KAZ,JUD,Men -60 kg,Kazakhstan,Judo
Gold Medal,1,2021-07-24,KRASNIQI D,KRASNIQI Distria,W,KOS,JUD,Women -48 kg,Kosovo,Judo
Silver Medal,2,2021-07-24,TONAKI F,TONAKI Funa,W,JPN,JUD,Women -48 kg,Japan,Judo
Bronze Medal,3,2021-07-24,BILODID D,BILODID Daria,W,UKR,JUD,Women -48 kg,Ukraine,Judo
Bronze Medal,3,2021-07-24,MUNKHBAT U,MUNKHBAT Urantsetseg,W,MGL,JUD,Women -48 kg,Mongolia,Judo
Gold Medal,1,2021-07-24,FOROUGHI J,FOROUGHI Javad,M,IRI,SHO,10m Air Pistol Men,Islamic Republic of Iran,Shooting
Silver Medal,2,2021-07-24,MIKEC D,MIKEC Damir,M,SRB,SHO,10m Air Pistol Men,Serbia,Shooting
Bronze Medal,3,2021-07-24,PANG W,PANG Wei,M,CHN,SHO,10m Air Pistol Men,People's Republic of China,Shooting
Gold Medal,1,2021-07-24,YANG Q,YANG Qian,W,CHN,SHO,10m Air Rifle Women,People's Republic of China,Shooting
Silver Medal,2,2021-07-24,GALASHINA A,GALASHINA Anastasiia,W,ROC,SHO,10m Air Rifle Women,ROC,Shooting
Bronze Medal,3,2021-07-24,CHRISTEN N,CHRISTEN Nina,W,SUI,SHO,10m Air Rifle Women,Switzerland,Shooting
Gold Medal,1,2021-07-24,DELL'AQUILA V,DELL'AQUILA Vito,M,ITA,TKW,Men -58kg,Italy,Taekwondo
Silver Medal,2,2021-07-24,JENDOUBI MK,JENDOUBI Mohamed Khalil,M,TUN,TKW,Men -58kg,Tunisia,Taekwondo
Bronze Medal,3,2021-07-24,ARTAMONOV M,ARTAMONOV Mikhail,M,ROC,TKW,Men -58kg,ROC,Taekwondo
Bronze Medal,3,2021-07-24,JANG J,JANG Jun,M,KOR,TKW,Men -58kg,Republic of Korea,Taekwondo
Gold Medal,1,2021-07-24,WONGPATTANAKIT P,WONGPATTANAKIT Panipak,W,THA,TKW,Women -49kg,Thailand,Taekwondo
Silver Medal,2,2021-07-24,CEREZO IGLESIAS A,CEREZO IGLESIAS Adriana,W,ESP,TKW,Women -49kg,Spain,Taekwondo
Bronze Medal,3,2021-07-24,BOGDANOVIC T,BOGDANOVIC Tijana,W,SRB,TKW,Women -49kg,Serbia,Taekwondo
Bronze Medal,3,2021-07-24,SEMBERG A,SEMBERG Abishag,W,ISR,TKW,Women -49kg,Israel,Taekwondo
Gold Medal,1,2021-07-24,HOU Z,HOU Zhihui,W,CHN,WLF,Women's 49kg,People's Republic of China,Weightlifting
Silver Medal,2,2021-07-24,MIRABAI CS,MIRABAI Chanu Saikhom,W,IND,WLF,Women's 49kg,India,Weightlifting
Bronze Medal,3,2021-07-24,AISAH WC,AISAH Windy Cantika,W,INA,WLF,Women's 49kg,Indonesia,Weightlifting
Gold Medal,1,2021-07-25,KANG C,KANG Chaeyoung,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Gold Medal,1,2021-07-25,AN S,AN San,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Gold Medal,1,2021-07-25,JANG M,JANG Minhee,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Silver Medal,2,2021-07-25,OSIPOVA E,OSIPOVA Elena,W,ROC,ARC,Women's Team,ROC,Archery
Silver Medal,2,2021-07-25,PEROVA K,PEROVA Ksenia,W,ROC,ARC,Women's Team,ROC,Archery
Silver Medal,2,2021-07-25,GOMBOEVA S,GOMBOEVA Svetlana,W,ROC,ARC,Women's Team,ROC,Archery
Bronze Medal,3,2021-07-25,SCHWARZ C,SCHWARZ Charline,W,GER,ARC,Women's Team,Germany,Archery
Bronze Medal,3,2021-07-25,UNRUH L,UNRUH Lisa,W,GER,ARC,Women's Team,Germany,Archery
Bronze Medal,3,2021-07-25,KROPPEN M,KROPPEN Michelle,W,GER,ARC,Women's Team,Germany,Archery
Gold Medal,1,2021-07-25,KIESENHOFER A,KIESENHOFER Anna,W,AUT,CRD,Women's Road Race,Austria,Cycling Road
Silver Medal,2,2021-07-25,van VLEUTEN A,van VLEUTEN Annemiek,W,NED,CRD,Women's Road Race,Netherlands,Cycling Road
Bronze Medal,3,2021-07-25,LONGO BORGHINI E,LONGO BORGHINI Elisa,W,ITA,CRD,Women's Road Race,Italy,Cycling Road
Gold Medal,1,2021-07-25,WANG H,WANG Han,W,CHN,DIV,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Gold Medal,1,2021-07-25,SHI T,SHI Tingmao,W,CHN,DIV,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Silver Medal,2,2021-07-25,ABEL J,ABEL Jennifer,W,CAN,DIV,Women's Synchronised 3m Springboard,Canada,Diving
Silver Medal,2,2021-07-25,CITRINI BEAULIEU M,CITRINI BEAULIEU Melissa,W,CAN,DIV,Women's Synchronised 3m Springboard,Canada,Diving
Bronze Medal,3,2021-07-25,HENTSCHEL L,HENTSCHEL Lena,W,GER,DIV,Women's Synchronised 3m Springboard,Germany,Diving
Bronze Medal,3,2021-07-25,PUNZEL T,PUNZEL Tina,W,GER,DIV,Women's Synchronised 3m Springboard,Germany,Diving
Gold Medal,1,2021-07-25,CANNONE R,CANNONE Romain,M,FRA,FEN,Men's &Eacute;p&eacute;e Individual,France,Fencing
Silver Medal,2,2021-07-25,SIKLOSI G,SIKLOSI Gergely,M,HUN,FEN,Men's &Eacute;p&eacute;e Individual,Hungary,Fencing
Bronze Medal,3,2021-07-25,REIZLIN I,REIZLIN Igor,M,UKR,FEN,Men's &Eacute;p&eacute;e Individual,Ukraine,Fencing
Gold Medal,1,2021-07-25,KIEFER L,KIEFER Lee,W,USA,FEN,Women's Foil Individual,United States of America,Fencing
Silver Medal,2,2021-07-25,DERIGLAZOVA I,DERIGLAZOVA Inna,W,ROC,FEN,Women's Foil Individual,ROC,Fencing
Bronze Medal,3,2021-07-25,KOROBEYNIKOVA L,KOROBEYNIKOVA Larisa,W,ROC,FEN,Women's Foil Individual,ROC,Fencing
Gold Medal,1,2021-07-25,ABE H,ABE Hifumi,M,JPN,JUD,Men -66 kg,Japan,Judo
Silver Medal,2,2021-07-25,MARGVELASHVILI V,MARGVELASHVILI Vazha,M,GEO,JUD,Men -66 kg,Georgia,Judo
Bronze Medal,3,2021-07-25,AN B,AN Baul,M,KOR,JUD,Men -66 kg,Republic of Korea,Judo
Bronze Medal,3,2021-07-25,CARGNIN D,CARGNIN Daniel,M,BRA,JUD,Men -66 kg,Brazil,Judo
Gold Medal,1,2021-07-25,ABE U,ABE Uta,W,JPN,JUD,Women -52 kg,Japan,Judo
Silver Medal,2,2021-07-25,BUCHARD A,BUCHARD Amandine,W,FRA,JUD,Women -52 kg,France,Judo
Bronze Medal,3,2021-07-25,GILES C,GILES Chelsie,W,GBR,JUD,Women -52 kg,Great Britain,Judo
Bronze Medal,3,2021-07-25,GIUFFRIDA O,GIUFFRIDA Odette,W,ITA,JUD,Women -52 kg,Italy,Judo
Gold Medal,1,2021-07-25,BATSARASHKINA V,BATSARASHKINA Vitalina,W,ROC,SHO,10m Air Pistol Women,ROC,Shooting
Silver Medal,2,2021-07-25,KOSTADINOVA A,KOSTADINOVA Antoaneta,W,BUL,SHO,10m Air Pistol Women,Bulgaria,Shooting
Bronze Medal,3,2021-07-25,JIANG R,JIANG Ranxin,W,CHN,SHO,10m Air Pistol Women,People's Republic of China,Shooting
Gold Medal,1,2021-07-25,SHANER W,SHANER William,M,USA,SHO,10m Air Rifle Men,United States of America,Shooting
Silver Medal,2,2021-07-25,SHENG L,SHENG Lihao,M,CHN,SHO,10m Air Rifle Men,People's Republic of China,Shooting
Bronze Medal,3,2021-07-25,YANG H,YANG Haoran,M,CHN,SHO,10m Air Rifle Men,People's Republic of China,Shooting
Gold Medal,1,2021-07-25,HORIGOME Y,HORIGOME Yuto,M,JPN,SKB,Men's Street,Japan,Skateboarding
Silver Medal,2,2021-07-25,HOEFLER K,HOEFLER Kelvin,M,BRA,SKB,Men's Street,Brazil,Skateboarding
Bronze Medal,3,2021-07-25,EATON J,EATON Jagger,M,USA,SKB,Men's Street,United States of America,Skateboarding
Gold Medal,1,2021-07-25,HAFNAOUI A,HAFNAOUI Ahmed,M,TUN,SWM,Men's 400m Freestyle,Tunisia,Swimming
Silver Medal,2,2021-07-25,McLOUGHLIN J.,McLOUGHLIN Jack,M,AUS,SWM,Men's 400m Freestyle,Australia,Swimming
Bronze Medal,3,2021-07-25,SMITH K,SMITH Kieran,M,USA,SWM,Men's 400m Freestyle,United States of America,Swimming
Gold Medal,1,2021-07-25,KALISZ C,KALISZ Chase,M,USA,SWM,Men's 400m Individual Medley,United States of America,Swimming
Silver Medal,2,2021-07-25,LITHERLAND J,LITHERLAND Jay,M,USA,SWM,Men's 400m Individual Medley,United States of America,Swimming
Bronze Medal,3,2021-07-25,SMITH B,SMITH Brendon,M,AUS,SWM,Men's 400m Individual Medley,Australia,Swimming
Gold Medal,1,2021-07-25,CAMPBELL C,CAMPBELL Cate,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,2021-07-25,CAMPBELL B,CAMPBELL Bronte,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,2021-07-25,McKEON E,McKEON Emma,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,2021-07-25,WILSON M,WILSON Madison,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,2021-07-25,O'CALLAGHAN M,O'CALLAGHAN Mollie,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,2021-07-25,HARRIS M,HARRIS Meg,W,AUS,SWM,Women's 4 x 100m Freestyle Relay,Australia,Swimming
Silver Medal,2,2021-07-25,OLEKSIAK P,OLEKSIAK Penny,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver Medal,2,2021-07-25,SMITH R,SMITH Rebecca,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver Medal,2,2021-07-25,SANCHEZ K,SANCHEZ Kayla,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver Medal,2,2021-07-25,MACNEIL M,MACNEIL Margaret,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Silver Medal,2,2021-07-25,RUCK T,RUCK Taylor,W,CAN,SWM,Women's 4 x 100m Freestyle Relay,Canada,Swimming
Bronze Medal,3,2021-07-25,BROWN E,BROWN Erika,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,2021-07-25,WEITZEIL A,WEITZEIL Abbey,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,2021-07-25,de LOOF C,de LOOF Catie,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,2021-07-25,SCHMITT A,SCHMITT Allison,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,2021-07-25,HINDS N,HINDS Natalie,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,2021-07-25,SMOLIGA O,SMOLIGA Olivia,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,2021-07-25,MANUEL S,MANUEL Simone,W,USA,SWM,Women's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,2021-07-25,OHASHI Y,OHASHI Yui,W,JPN,SWM,Women's 400m Individual Medley,Japan,Swimming
Silver Medal,2,2021-07-25,WEYANT E,WEYANT Emma,W,USA,SWM,Women's 400m Individual Medley,United States of America,Swimming
Bronze Medal,3,2021-07-25,FLICKINGER H,FLICKINGER Hali,W,USA,SWM,Women's 400m Individual Medley,United States of America,Swimming
Gold Medal,1,2021-07-25,RASHITOV U,RASHITOV Ulugbek,M,UZB,TKW,Men -68kg,Uzbekistan,Taekwondo
Silver Medal,2,2021-07-25,SINDEN B,SINDEN Bradly,M,GBR,TKW,Men -68kg,Great Britain,Taekwondo
Bronze Medal,3,2021-07-25,RECBER H,RECBER Hakan,M,TUR,TKW,Men -68kg,Turkey,Taekwondo
Bronze Medal,3,2021-07-25,ZHAO S,ZHAO Shuai,M,CHN,TKW,Men -68kg,People's Republic of China,Taekwondo
Gold Medal,1,2021-07-25,ZOLOTIC A,ZOLOTIC Anastasija,W,USA,TKW,Women -57kg,United States of America,Taekwondo
Silver Medal,2,2021-07-25,MININA T,MININA Tatiana,W,ROC,TKW,Women -57kg,ROC,Taekwondo
Bronze Medal,3,2021-07-25,LO CL,LO Chia-Ling,W,TPE,TKW,Women -57kg,Chinese Taipei,Taekwondo
Bronze Medal,3,2021-07-25,ILGUN HK,ILGUN Hatice Kubra,W,TUR,TKW,Women -57kg,Turkey,Taekwondo
Gold Medal,1,2021-07-25,LI F,LI Fabin,M,CHN,WLF,Men's 61kg,People's Republic of China,Weightlifting
Silver Medal,2,2021-07-25,IRAWAN EY,IRAWAN Eko Yuli,M,INA,WLF,Men's 61kg,Indonesia,Weightlifting
Bronze Medal,3,2021-07-25,SON I,SON Igor,M,KAZ,WLF,Men's 61kg,Kazakhstan,Weightlifting
Gold Medal,1,2021-07-25,CHEN L,CHEN Lijun,M,CHN,WLF,Men's 67kg,People's Republic of China,Weightlifting
Silver Medal,2,2021-07-25,MOSQUERA LOZANO LJ,MOSQUERA LOZANO Luis Javier,M,COL,WLF,Men's 67kg,Colombia,Weightlifting
Bronze Medal,3,2021-07-25,ZANNI M,ZANNI Mirko,M,ITA,WLF,Men's 67kg,Italy,Weightlifting
Gold Medal,1,2021-07-26,KIM JD,KIM Je Deok,M,KOR,ARC,Men's Team,Republic of Korea,Archery
Gold Medal,1,2021-07-26,OH J,OH Jinhyek,M,KOR,ARC,Men's Team,Republic of Korea,Archery
Gold Medal,1,2021-07-26,KIM W,KIM Woojin,M,KOR,ARC,Men's Team,Republic of Korea,Archery
Silver Medal,2,2021-07-26,TANG CC,TANG Chih-Chun,M,TPE,ARC,Men's Team,Chinese Taipei,Archery
Silver Medal,2,2021-07-26,WEI CH,WEI Chun-Heng,M,TPE,ARC,Men's Team,Chinese Taipei,Archery
Silver Medal,2,2021-07-26,DENG YC,DENG Yu-Cheng,M,TPE,ARC,Men's Team,Chinese Taipei,Archery
Bronze Medal,3,2021-07-26,FURUKAWA T,FURUKAWA Takaharu,M,JPN,ARC,Men's Team,Japan,Archery
Bronze Medal,3,2021-07-26,KAWATA Y,KAWATA Yuki,M,JPN,ARC,Men's Team,Japan,Archery
Bronze Medal,3,2021-07-26,MUTO H,MUTO Hiroki,M,JPN,ARC,Men's Team,Japan,Archery
Gold Medal,1,2021-07-26,ABLIAZIN D,ABLIAZIN Denis,M,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
Gold Medal,1,2021-07-26,BELYAVSKIY D,BELYAVSKIY David,M,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
Gold Medal,1,2021-07-26,DALALOYAN A,DALALOYAN Artur,M,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
Gold Medal,1,2021-07-26,NAGORNYY N,NAGORNYY Nikita,M,ROC,GAR,Men's Team,ROC,Artistic Gymnastics
Silver Medal,2,2021-07-26,KAYA K,KAYA Kazuma,M,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
Silver Medal,2,2021-07-26,TANIGAWA W,TANIGAWA Wataru,M,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
Silver Medal,2,2021-07-26,KITAZONO T,KITAZONO Takeru,M,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
Silver Medal,2,2021-07-26,HASHIMOTO D,HASHIMOTO Daiki,M,JPN,GAR,Men's Team,Japan,Artistic Gymnastics
Bronze Medal,3,2021-07-26,LIN C,LIN Chaopan,M,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,2021-07-26,SUN W,SUN Wei,M,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,2021-07-26,XIAO R,XIAO Ruoteng,M,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,2021-07-26,ZOU J,ZOU Jingyuan,M,CHN,GAR,Men's Team,People's Republic of China,Artistic Gymnastics
Gold Medal,1,2021-07-26,SAVSEK B,SAVSEK Benjamin,M,SLO,CSL,Men's Canoe,Slovenia,Canoe Slalom
Silver Medal,2,2021-07-26,ROHAN L,ROHAN Lukas,M,CZE,CSL,Men's Canoe,Czech Republic,Canoe Slalom
Bronze Medal,3,2021-07-26,TASIADIS S,TASIADIS Sideris,M,GER,CSL,Men's Canoe,Germany,Canoe Slalom
Gold Medal,1,2021-07-26,PIDCOCK T,PIDCOCK Thomas,M,GBR,MTB,Men's Cross-country,Great Britain,Cycling Mountain Bike
Silver Medal,2,2021-07-26,FLUECKIGER M,FLUECKIGER Mathias,M,SUI,MTB,Men's Cross-country,Switzerland,Cycling Mountain Bike
Bronze Medal,3,2021-07-26,VALERO SERRANO D,VALERO SERRANO David,M,ESP,MTB,Men's Cross-country,Spain,Cycling Mountain Bike
Gold Medal,1,2021-07-26,DALEY T,DALEY Thomas,M,GBR,DIV,Men's Synchronised 10m Platform,Great Britain,Diving
Gold Medal,1,2021-07-26,LEE M,LEE Matty,M,GBR,DIV,Men's Synchronised 10m Platform,Great Britain,Diving
Silver Medal,2,2021-07-26,CAO Y,CAO Yuan,M,CHN,DIV,Men's Synchronised 10m Platform,People's Republic of China,Diving
Silver Medal,2,2021-07-26,CHEN A,CHEN Aisen,M,CHN,DIV,Men's Synchronised 10m Platform,People's Republic of China,Diving
Bronze Medal,3,2021-07-26,BONDAR A,BONDAR Aleksandr,M,ROC,DIV,Men's Synchronised 10m Platform,ROC,Diving
Bronze Medal,3,2021-07-26,MINIBAEV V,MINIBAEV Viktor,M,ROC,DIV,Men's Synchronised 10m Platform,ROC,Diving
Gold Medal,1,2021-07-26,CHEUNG KL,CHEUNG Ka Long,M,HKG,FEN,Men's Foil Individual,"Hong Kong, China",Fencing
Silver Medal,2,2021-07-26,GAROZZO D,GAROZZO Daniele,M,ITA,FEN,Men's Foil Individual,Italy,Fencing
Bronze Medal,3,2021-07-26,CHOUPENITCH A,CHOUPENITCH Alexander,M,CZE,FEN,Men's Foil Individual,Czech Republic,Fencing
Gold Medal,1,2021-07-26,POZDNIAKOVA S,POZDNIAKOVA Sofia,W,ROC,FEN,Women's Sabre Individual,ROC,Fencing
Silver Medal,2,2021-07-26,VELIKAYA S,VELIKAYA Sofya,W,ROC,FEN,Women's Sabre Individual,ROC,Fencing
Bronze Medal,3,2021-07-26,BRUNET M,BRUNET Manon,W,FRA,FEN,Women's Sabre Individual,France,Fencing
Gold Medal,1,2021-07-26,ONO S,ONO Shohei,M,JPN,JUD,Men -73 kg,Japan,Judo
Silver Medal,2,2021-07-26,SHAVDATUASHVILI L,SHAVDATUASHVILI Lasha,M,GEO,JUD,Men -73 kg,Georgia,Judo
Bronze Medal,3,2021-07-26,AN C,AN Changrim,M,KOR,JUD,Men -73 kg,Republic of Korea,Judo
Bronze Medal,3,2021-07-26,TSEND-OCHIR T,TSEND-OCHIR Tsogtbaatar,M,MGL,JUD,Men -73 kg,Mongolia,Judo
Gold Medal,1,2021-07-26,GJAKOVA N,GJAKOVA Nora,W,KOS,JUD,Women -57 kg,Kosovo,Judo
Silver Medal,2,2021-07-26,CYSIQUE SL,CYSIQUE Sarah Leonie,W,FRA,JUD,Women -57 kg,France,Judo
Bronze Medal,3,2021-07-26,KLIMKAIT J,KLIMKAIT Jessica,W,CAN,JUD,Women -57 kg,Canada,Judo
Bronze Medal,3,2021-07-26,YOSHIDA T,YOSHIDA Tsukasa,W,JPN,JUD,Women -57 kg,Japan,Judo
Gold Medal,1,2021-07-26,HANCOCK V,HANCOCK Vincent,M,USA,SHO,Skeet Men,United States of America,Shooting
Silver Medal,2,2021-07-26,HANSEN J,HANSEN Jesper,M,DEN,SHO,Skeet Men,Denmark,Shooting
Bronze Medal,3,2021-07-26,ALRASHIDI A,ALRASHIDI Abdullah,M,KUW,SHO,Skeet Men,Kuwait,Shooting
Gold Medal,1,2021-07-26,ENGLISH A,ENGLISH Amber,W,USA,SHO,Skeet Women,United States of America,Shooting
Silver Medal,2,2021-07-26,BACOSI D,BACOSI Diana,W,ITA,SHO,Skeet Women,Italy,Shooting
Bronze Medal,3,2021-07-26,WEI M,WEI Meng,W,CHN,SHO,Skeet Women,People's Republic of China,Shooting
Gold Medal,1,2021-07-26,NISHIYA M,NISHIYA Momiji,W,JPN,SKB,Women's Street,Japan,Skateboarding
Silver Medal,2,2021-07-26,LEAL R,LEAL Rayssa,W,BRA,SKB,Women's Street,Brazil,Skateboarding
Bronze Medal,3,2021-07-26,NAKAYAMA F,NAKAYAMA Funa,W,JPN,SKB,Women's Street,Japan,Skateboarding
Gold Medal,1,2021-07-26,PEATY A,PEATY Adam,M,GBR,SWM,Men's 100m Breaststroke,Great Britain,Swimming
Silver Medal,2,2021-07-26,KAMMINGA A,KAMMINGA Arno,M,NED,SWM,Men's 100m Breaststroke,Netherlands,Swimming
Bronze Medal,3,2021-07-26,MARTINENGHI N,MARTINENGHI Nicolo,M,ITA,SWM,Men's 100m Breaststroke,Italy,Swimming
Gold Medal,1,2021-07-26,CURRY B,CURRY Brooks,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,2021-07-26,DRESSEL C,DRESSEL Caeleb,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,2021-07-26,BECKER B,BECKER Bowen,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,2021-07-26,PIERONI B,PIERONI Blake,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold Medal,1,2021-07-26,APPLE Z,APPLE Zach,M,USA,SWM,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Silver Medal,2,2021-07-26,CECCON T,CECCON Thomas,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver Medal,2,2021-07-26,FRIGO M,FRIGO Manuel,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver Medal,2,2021-07-26,ZAZZERI L,ZAZZERI Lorenzo,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver Medal,2,2021-07-26,CONDORELLI S,CONDORELLI Santo,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver Medal,2,2021-07-26,MIRESSI A,MIRESSI Alessandro,M,ITA,SWM,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Bronze Medal,3,2021-07-26,CHALMERS K,CHALMERS Kyle,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-26,GRAHAM A,GRAHAM Alexander,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-26,INCERTI Z,INCERTI Zac,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-26,McEVOY C,McEVOY Cameron,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-26,TEMPLE M,TEMPLE Matthew,M,AUS,SWM,Men's 4 x 100m Freestyle Relay,Australia,Swimming
Gold Medal,1,2021-07-26,MACNEIL M,MACNEIL Margaret,W,CAN,SWM,Women's 100m Butterfly,Canada,Swimming
Silver Medal,2,2021-07-26,ZHANG Y,ZHANG Yufei,W,CHN,SWM,Women's 100m Butterfly,People's Republic of China,Swimming
Bronze Medal,3,2021-07-26,McKEON E,McKEON Emma,W,AUS,SWM,Women's 100m Butterfly,Australia,Swimming
Gold Medal,1,2021-07-26,TITMUS A,TITMUS Ariarne,W,AUS,SWM,Women's 400m Freestyle,Australia,Swimming
Silver Medal,2,2021-07-26,LEDECKY K,LEDECKY Kathleen,W,USA,SWM,Women's 400m Freestyle,United States of America,Swimming
Bronze Medal,3,2021-07-26,LI B,LI Bingjie,W,CHN,SWM,Women's 400m Freestyle,People's Republic of China,Swimming
Gold Medal,1,2021-07-26,MIZUTANI J,MIZUTANI Jun,W,JPN,TTE,Mixed Doubles,Japan,Table Tennis
Gold Medal,1,2021-07-26,ITO M,ITO Mima,W,JPN,TTE,Mixed Doubles,Japan,Table Tennis
Silver Medal,2,2021-07-26,XU X,XU Xin,W,CHN,TTE,Mixed Doubles,People's Republic of China,Table Tennis
Silver Medal,2,2021-07-26,LIU S,LIU Shiwen,W,CHN,TTE,Mixed Doubles,People's Republic of China,Table Tennis
Bronze Medal,3,2021-07-26,LIN YJ,LIN Yun Ju,W,TPE,TTE,Mixed Doubles,Chinese Taipei,Table Tennis
Bronze Medal,3,2021-07-26,CHENG IC,CHENG I Ching,W,TPE,TTE,Mixed Doubles,Chinese Taipei,Table Tennis
Gold Medal,1,2021-07-26,KHRAMTCOV M,KHRAMTCOV Maksim,M,ROC,TKW,Men -80kg,ROC,Taekwondo
